+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| collector                                              | url                                                                                                                                                        |
| rv/linx                                                | http://archive.routeviews.org/route-views.linx/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                    |
| rv/linx                                                | http://archive.routeviews.org/route-views.linx/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                             |
| rv/oreg                                                | http://archive.routeviews.org/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                                              |
| rv/oreg                                                | http://archive.routeviews.org/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                                     |
| rv/route-views3                                        | http://archive.routeviews.org/route-views3/<YYYY>.<MM>/route-views3-full-snapshot-<YYYY>-<MM>-<DD>-<HH><mm>.dat.bz2                                        |
| rv/route-views4                                        | http://archive.routeviews.org/route-views4/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                                 |
| rv/route-views4                                        | http://archive.routeviews.org/route-views4/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                        |
| rv/route-views6                                        | http://archive.routeviews.org/route-views6/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                                 |
| rv/route-views6                                        | http://archive.routeviews.org/route-views6/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                        |
| rv/saopaulo                                            | http://archive.routeviews.org/route-views.saopaulo/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                         |
| rv/saopaulo                                            | http://archive.routeviews.org/route-views.saopaulo/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                |
| rv/sydney                                              | http://archive.routeviews.org/route-views.sydney/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                           |
| rv/sydney                                              | http://archive.routeviews.org/route-views.sydney/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                  |
| rv/telxatl                                             | http://archive.routeviews.org/route-views.telxatl/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                          |
| rv/telxatl                                             | http://archive.routeviews.org/route-views.telxatl/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                 |
| rv/wide                                                | http://archive.routeviews.org/route-views.wide/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                             |
| rv/wide                                                | http://archive.routeviews.org/route-views.wide/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                    |
+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------+
